UID,TEST,Schema,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,calibration
A018,T1,Congruent,1.0,0.5618547,-0.08675025,0.653749568421183,1.1129652804473096,0.45921571202612654
A018,T2,Congruent,34.03,-0.67173314,-0.59518427,-0.6245019882522499,0.27206331436651404,0.8965653026187639
A018,T3,Congruent,83.64,-1.4463239,-0.76017225,-1.4271378546651823,-0.0008112599227890852,1.426326594742393
A018,T4,Congruent,150.87,-1.3813379,-0.9158059,-1.3597989486153463,-0.25821465372663094,1.1015842948887153
A018,T1,Incongruent,1.0,0.30357635,-0.2737818,0.38867115958811765,0.7981047828150752,0.4094336232269576
A018,T2,Incongruent,34.03,0.13325407,-0.24162628,0.21140166493610724,0.8511935928785288,0.6397919279424216
A018,T3,Incongruent,83.64,-1.2524856,-0.82405907,-1.2308604455766434,-0.11040378645283642,1.120456659123807
A018,T4,Incongruent,150.87,-1.2764258,-0.6834587,-1.25577713384472,0.1217276279289334,1.3775047617736533
A019,T1,Common,1.0,0.047048267,-2.011773,0.12221775673621992,-2.043854029951174,-2.166071786687394
A019,T2,Common,28.69,-0.20232682,-2.686788,-0.13562846384636557,-3.1379797535635374,-3.002351289717172
A019,T3,Common,83.68,0.07857297,-2.407096,0.15481333643636253,-2.6846295141042824,-2.839442850540645
A019,T4,Common,154.76,-0.5522269,-2.3311577,-0.49741445576280874,-2.5615418087386344,-2.0641273529758255
A019,T1,Congruent,1.0,-0.10662708,-2.1664224,-0.038935498815558994,-2.326616515708808,-2.287681016893249
A019,T2,Congruent,28.69,-0.14847471,-2.009122,-0.08229827887554554,-2.0664564744407286,-1.984158195565183
A019,T3,Congruent,83.68,-0.024053447,-2.1491692,0.04662782428142513,-2.2980813484491796,-2.344709172730605
A019,T4,Congruent,154.76,-0.56357664,-2.5337958,-0.5124295358443612,-2.934217506582288,-2.4217879707379266
A019,T1,Incongruent,1.0,0.01742278,-2.4123783,0.09084577381493117,-2.732721134192842,-2.823566908007773
A019,T2,Incongruent,28.69,0.18928657,-2.1736994,0.26971965456781466,-2.3386619248174685,-2.6083815793852834
A019,T3,Incongruent,83.68,0.3077405,-2.37307,0.3930051596153317,-2.667823073996109,-3.0608282336114407
A019,T4,Incongruent,154.76,0.12470522,-1.7481909,0.20250411894649367,-1.636146775415904,-1.8386508943623978
A020,T1,Common,1.0,0.353878,-0.15611939,0.43947032582069234,0.9639581650595194,0.524487839238827
A020,T2,Common,26.85,0.3275236,-0.3256946,0.4122206814497545,0.6890952370535218,0.27687455560376734
A020,T3,Common,78.25,-0.111905396,-0.6582603,-0.04213547415531642,0.15004249428313596,0.19217796843845236
A020,T4,Common,145.78,-1.2903628,-1.5926524,-1.2606244234502597,-1.3645052306565695,-0.10388080720630977
A020,T1,Congruent,1.0,0.624766,-0.26701468,0.7189386571506483,0.8148248971554246,0.0958862400047763
A020,T2,Congruent,26.85,0.106271744,-0.51464427,0.18167161513908509,0.4052688861497461,0.22359727101066101
A020,T3,Congruent,78.25,-0.90979683,-1.3487837,-0.8711850962260782,-0.9743191411669828,-0.10313404494090461
A020,T4,Congruent,145.78,-1.1804005,-1.2898188,-1.1515863381992837,-0.8767967520480219,0.2747895861512618
A020,T1,Incongruent,1.0,-0.1143842,-0.45759633,-0.046337434020283605,0.49462672772304206,0.5409641617433256
A020,T2,Incongruent,26.85,0.006319595,-0.39950776,0.07928970496722797,0.5905310408732453,0.5112413359060173
A020,T3,Incongruent,78.25,-0.46397996,-0.81771845,-0.41019273062437744,-0.0999354136551166,0.31025731696926084
A020,T4,Incongruent,145.78,-1.1247153,-1.1671014,-1.097878568440336,-0.6767671698188816,0.4211113986214544
A021,T1,Common,1.0,0.4223149,-0.5802737,0.5102319894081554,0.27645027063931754,-0.23378171876883785
