UID,location,TSVR_hours,test,theta,se,measure
A034,destination,74.0,3,-1.1147809,0.5,accuracy
A034,destination,148.0,4,-0.6969951,0.5,accuracy
A035,destination,1.0,1,0.30524516,0.5,accuracy
A035,destination,26.0,2,-0.05189664,0.5,accuracy
A035,destination,74.0,3,-0.003024264,0.5,accuracy
A035,destination,148.0,4,-1.0853919,0.5,accuracy
A036,destination,1.0,1,1.3103865,0.5,accuracy
A036,destination,26.0,2,-0.8839064,0.5,accuracy
A036,destination,74.0,3,-0.5670363,0.5,accuracy
A036,destination,148.0,4,-0.9257591,0.5,accuracy
A037,destination,1.0,1,-0.37298724,0.5,accuracy
A037,destination,26.0,2,0.8601754,0.5,accuracy
A037,destination,74.0,3,0.52264977,0.5,accuracy
A037,destination,148.0,4,-0.7062983,0.5,accuracy
A038,destination,1.0,1,1.0395416,0.5,accuracy
A038,destination,26.0,2,-0.28525016,0.5,accuracy
A038,destination,74.0,3,0.56079465,0.5,accuracy
A038,destination,148.0,4,-0.17457396,0.5,accuracy
A039,destination,1.0,1,1.7322454,0.5,accuracy
A039,destination,26.0,2,1.3414384,0.5,accuracy
