composite_ID,UID,test,TSVR_hours,ma_theta,ma_theta_se
A029_T1,A029,T1,1.0,1.5714176093261254,0.011683351532375482
A029_T2,A029,T2,28.43,1.0811586066281544,0.02061754670876764
A029_T3,A029,T3,93.26,0.7212369774557543,0.013359838153439158
A029_T4,A029,T4,143.14,0.5899572924119117,0.019294491928918092
A030_T1,A030,T1,1.0,0.6242207715278322,0.036821680393180366
A030_T2,A030,T2,32.95,0.20873503109661065,0.024820363497283685
A030_T3,A030,T3,71.93,0.027163046043355617,0.0271497552001334
A030_T4,A030,T4,150.46,-0.13906542167530123,0.022599676152923288
A031_T1,A031,T1,1.0,1.4889625762081005,0.06746865867066146
A031_T2,A031,T2,32.41,0.444423878857389,0.06226881311784779
A031_T3,A031,T3,71.56,-0.061012439453605155,0.04763172613594914
A031_T4,A031,T4,143.85,-0.5629919513373612,0.059765703084927645
A032_T1,A032,T1,1.0,0.41572592435155215,0.032167696229656456
A032_T2,A032,T2,57.18,-0.08846373560659583,0.03274455527583158
A032_T3,A032,T3,80.16,-0.15708799704715162,0.01858818703389876
A032_T4,A032,T4,144.51,-0.2635644808182037,0.056954625592698455
A033_T1,A033,T1,1.0,0.9235901101484797,0.026745330657926704
A033_T2,A033,T2,29.16,0.34092791563888897,0.024277638184564906
A033_T3,A033,T3,72.6,0.007364045051347407,0.01628657499726508
A033_T4,A033,T4,168.33,-0.3280107633999865,0.042003741820417675
A034_T1,A034,T1,1.0,2.033274057203693,0.020377920397405384
A034_T2,A034,T2,26.08,1.4906744719760485,0.023311112482724355
A034_T3,A034,T3,74.28,1.1150757074287647,0.014842714251331825
A034_T4,A034,T4,145.38,0.852989472160809,0.02534574677117101
A035_T1,A035,T1,1.0,0.991828760707009,0.02581608163629168
A035_T2,A035,T2,44.76,0.29482504189880737,0.01611670131346094
A035_T3,A035,T3,79.98,0.08699026193358288,0.01323762749754348
A035_T4,A035,T4,152.47,-0.1530857628978473,0.027886269218129818
A036_T1,A036,T1,1.0,-0.7458270852643951,0.01975977117068016
A036_T2,A036,T2,21.63,-1.152496549719337,0.0230737319407878
A036_T3,A036,T3,71.47,-1.4939567475672217,0.01754217127956822
A036_T4,A036,T4,143.85,-1.701968087568968,0.021994802661845392
A037_T1,A037,T1,1.0,0.849731941714614,0.03011131086430671
A037_T2,A037,T2,23.7,0.1576871181841791,0.040444898725912795
A037_T3,A037,T3,72.08,-0.38448601749510436,0.027048587336992048
A037_T4,A037,T4,143.66,-0.7682279579177584,0.040611825344279
A038_T1,A038,T1,1.0,1.4284858779520004,0.03612414927382132
A038_T2,A038,T2,71.85,0.8299084301851949,0.02474379727824883
A038_T3,A038,T3,72.86,0.8266346145232683,0.024540393503195805
A038_T4,A038,T4,152.89,0.6602335868072832,0.024318394314993906
A039_T1,A039,T1,1.0,2.1086902759482533,0.017342300488660915
A039_T2,A039,T2,28.65,1.4669086461248235,0.034888461055879186
A039_T3,A039,T3,98.84,0.9541872924320576,0.031707974419477924
A039_T4,A039,T4,246.24,0.5418010722239971,0.05211510777685839
A040_T1,A040,T1,1.0,0.20082158144940232,0.03703648737295275
A040_T2,A040,T2,26.26,-0.6505763365684681,0.06305180725296027
A040_T3,A040,T3,71.28,-1.22919504145567,0.03392960971666315
A040_T4,A040,T4,143.53,-1.700630098440981,0.08619328821887041
A041_T1,A041,T1,1.0,0.9282561486575958,0.024656626651970208
A041_T2,A041,T2,31.78,0.4047364714853575,0.022166769163905253
A041_T3,A041,T3,75.74,0.14371002724753887,0.014614769737886262
A041_T4,A041,T4,141.84,-0.04461313768147933,0.036729779744112304
A042_T1,A042,T1,1.0,-0.08923006646431564,0.01868649140729068
A042_T2,A042,T2,28.93,-0.56647383063264,0.01985157094260171
A042_T3,A042,T3,72.17,-0.8316678880808448,0.01750921677788343
A042_T4,A042,T4,146.02,-1.0406266049255442,0.017551279109878894
A043_T1,A043,T1,1.0,2.2487887146825476,0.01866728384478878
A043_T2,A043,T2,25.62,1.6683561888346292,0.027127934290428285
A043_T3,A043,T3,64.94,1.309486105453809,0.016382407357608157
A043_T4,A043,T4,149.33,0.9530197012226707,0.03202498153860453
A044_T1,A044,T1,1.0,-0.2593211792708683,0.016623504282177275
A044_T2,A044,T2,47.66,-1.0230555052603059,0.018348364071706424
A044_T3,A044,T3,91.63,-1.2748375432186936,0.011428020897381264
A044_T4,A044,T4,155.27,-1.4861163288765278,0.0277418919012808
A045_T1,A045,T1,1.0,0.16331733251160263,0.033978152568415944
A045_T2,A045,T2,24.66,-0.2537176804915983,0.019305861672589644
A045_T3,A045,T3,72.23,-0.5520592748288304,0.023765506162313804
A045_T4,A045,T4,151.52,-0.7677776248735168,0.022850572279574054
A046_T1,A046,T1,1.0,0.608216619559869,0.019573032153002885
A046_T2,A046,T2,24.32,0.17265628550865453,0.02363275463554963
A046_T3,A046,T3,73.05,-0.1423443351528154,0.017482872176550097
A046_T4,A046,T4,147.94,-0.3476202010501259,0.03345358622004097
