composite_ID,UID,TEST,TSVR_hours,theta,se_all,age,Age_c,Time,Time_log,Phase,Time_within_phase,Time_within_phase_log
A053_3,A053,3,78.28,-0.40916884,0.3,44.0,-0.5700000000000003,78.28,4.372985890021733,Forgetting,45.57,3.840956556994286
A053_4,A053,4,148.9,-0.13549207,0.3,44.0,-0.5700000000000003,148.9,5.009968405108552,Forgetting,116.19,4.763796549270511
A054_1,A054,1,1.0,0.52522403,0.3,43.0,-1.5700000000000005,1.0,0.6931471805599453,Practice,0.0,0.0
A054_2,A054,2,16.9,1.1258696,0.3,43.0,-1.5700000000000005,16.9,2.884800712846709,Practice,15.899999999999999,2.8273136219290276
A054_3,A054,3,72.83,1.191061,0.3,43.0,-1.5700000000000005,72.83,4.3017651530710745,Forgetting,55.93,4.0418224429629905
A054_4,A054,4,136.83,1.2362738,0.3,43.0,-1.5700000000000005,136.83,4.926021041706347,Forgetting,119.93,4.795211865797184
A055_1,A055,1,1.0,0.28537354,0.3,44.0,-0.5700000000000003,1.0,0.6931471805599453,Practice,0.0,0.0
A055_2,A055,2,23.24,0.8647509,0.3,44.0,-0.5700000000000003,23.24,3.1880041612011136,Practice,22.24,3.1458749319837103
A055_3,A055,3,74.48,-0.119812906,0.3,44.0,-0.5700000000000003,74.48,4.32386772050035,Forgetting,51.24000000000001,3.955848484968176
A055_4,A055,4,149.21,-0.62007034,0.3,44.0,-0.5700000000000003,149.21,5.012034315009963,Forgetting,125.97000000000001,4.8439508380817005
A056_1,A056,1,1.0,0.5282342,0.3,42.0,-2.5700000000000003,1.0,0.6931471805599453,Practice,0.0,0.0
A056_2,A056,2,33.61,0.54977185,0.3,42.0,-2.5700000000000003,33.61,3.544142657647253,Practice,32.61,3.5148236417370144
A056_3,A056,3,71.46,-0.4118956,0.3,42.0,-2.5700000000000003,71.46,4.283034685466931,Forgetting,37.849999999999994,3.6597080768136565
A056_4,A056,4,147.84,-0.9539059,0.3,42.0,-2.5700000000000003,147.84,5.002871903478422,Forgetting,114.23,4.746930131025923
A057_1,A057,1,1.0,0.4946756,0.3,40.0,-4.57,1.0,0.6931471805599453,Practice,0.0,0.0
A057_2,A057,2,24.78,-0.77376056,0.3,40.0,-4.57,24.78,3.249598997511041,Practice,23.78,3.2100368762009963
A057_3,A057,3,73.83,-0.68134856,0.3,40.0,-4.57,73.83,4.315218874092267,Forgetting,49.05,3.9130225057612296
A057_4,A057,4,145.06,-1.0877718,0.3,40.0,-4.57,145.06,4.984017496191964,Forgetting,120.28,4.7981019218940615
A058_1,A058,1,1.0,1.0215306,0.3,42.0,-2.5700000000000003,1.0,0.6931471805599453,Practice,0.0,0.0
A058_2,A058,2,22.96,-0.8427394,0.3,42.0,-2.5700000000000003,22.96,3.1763857732472487,Practice,21.96,3.133753571451366
A058_3,A058,3,66.28,-0.121771336,0.3,42.0,-2.5700000000000003,66.28,4.208863015664693,Forgetting,43.32,3.7914360424390283
A058_4,A058,4,143.48,-1.0669552,0.3,42.0,-2.5700000000000003,143.48,4.973141089668675,Forgetting,120.51999999999998,4.800078858287518
A059_1,A059,1,1.0,0.99710035,0.3,43.0,-1.5700000000000005,1.0,0.6931471805599453,Practice,0.0,0.0
A059_2,A059,2,30.4,1.2424322,0.3,43.0,-1.5700000000000005,30.4,3.446807892914208,Practice,29.4,3.414442608412176
A059_3,A059,3,79.78,1.3356622,0.3,43.0,-1.5700000000000005,79.78,4.391729410135267,Forgetting,49.38,3.919594270924464
A059_4,A059,4,151.93,0.38432297,0.3,43.0,-1.5700000000000005,151.93,5.029980300360032,Forgetting,121.53,4.808355897961355
A060_1,A060,1,1.0,-0.051358394,0.3,48.0,3.43,1.0,0.6931471805599453,Practice,0.0,0.0
A060_2,A060,2,24.87,1.310061,0.3,48.0,3.43,24.87,3.2530839961979376,Practice,23.87,3.2136622578153133
A060_3,A060,3,94.68,-0.5090028,0.3,48.0,3.43,94.68,4.561009290202322,Forgetting,69.81,4.260000233663683
A060_4,A060,4,143.91,0.19280487,0.3,48.0,3.43,143.91,4.976112860057833,Forgetting,119.03999999999999,4.787825020572166
A061_1,A061,1,1.0,2.529091,0.3,47.0,2.43,1.0,0.6931471805599453,Practice,0.0,0.0
A061_2,A061,2,35.16,0.94611883,0.3,47.0,2.43,35.16,3.587953535523976,Practice,34.16,3.559909072816976
A061_3,A061,3,82.55,0.27741587,0.3,47.0,2.43,82.55,4.425445255041403,Forgetting,47.39,3.8792931808052273
A061_4,A061,4,146.56,-0.2929151,0.3,47.0,2.43,146.56,4.994234872728475,Forgetting,111.4,4.722063937459591
A062_1,A062,1,1.0,1.5359104,0.3,48.0,3.43,1.0,0.6931471805599453,Practice,0.0,0.0
A062_2,A062,2,44.69,0.14121151,0.3,48.0,3.43,44.69,3.82187945557518,Practice,43.69,3.79974976294536
A062_3,A062,3,92.72,-0.59946907,0.3,48.0,3.43,92.72,4.540311613639595,Forgetting,48.03,3.892432355663142
A062_4,A062,4,149.18,-0.7168849,0.3,48.0,3.43,149.18,5.011834574671738,Forgetting,104.49000000000001,4.658616161693717
