age_tertile,TSVR_hours,theta_observed,se_observed,ci_lower,ci_upper,theta_predicted
Older,73.64,-1.0806334,,,,-0.5509275296796096
Older,73.79,,,,,
Older,73.83,,,,,
Older,74.0,,,,,
Older,74.19,,,,,
Older,74.28,,,,,
Older,74.3,0.21852846,,,,0.3934165361740162
Older,74.46,,,,,
Older,74.48,,,,,
Older,74.58,,,,,
Older,74.88,-1.2046329,,,,-1.2449177329715964
Older,74.91,0.43418288,,,,1.0693655552203318
Older,75.21,-1.5118189,,,,-1.148922374577991
Older,75.27,-0.4782194,,,,-0.22024779491957797
Older,75.34,0.2661362,,,,-0.006672645594966664
Older,75.46,,,,,
Older,75.71,0.4018064,,,,0.19587756449529292
Older,75.74,,,,,
Older,76.21,-1.6861137,,,,-1.0212819780518063
Older,76.85,,,,,
Older,78.25,,,,,
Older,78.28,,,,,
Older,78.36,,,,,
Older,78.57,-0.21441267,,,,0.38614874058188975
Older,78.76,-0.5608494,,,,-0.2506582747100206
Older,78.84,1.1610224,,,,0.05071561607374225
Older,79.34,0.524776,,,,0.4886168498071993
Older,79.66,,,,,
Older,79.75,,,,,
Older,79.78,,,,,
Older,79.96,,,,,
Older,79.98,,,,,
Older,80.13,0.93472326,,,,0.0733829254664628
Older,80.16,,,,,
Older,80.24,-1.7227138,,,,-0.6582352109880776
Older,80.64,,,,,
Older,80.88,,,,,
Older,80.98,,,,,
Older,81.15,,,,,
Older,81.92,,,,,
Older,82.55,,,,,
Older,82.98,,,,,
Older,82.99,,,,,
Older,83.54,,,,,
Older,83.64,,,,,
Older,83.68,,,,,
Older,91.47,,,,,
Older,91.63,,,,,
Older,91.97,0.011830099,,,,-0.27878570850635176
Older,92.72,,,,,
Older,93.26,,,,,
Older,93.39,,,,,
Older,94.68,,,,,
Older,95.42,-1.5578265,,,,-0.934221003966357
Older,98.84,,,,,
Older,106.41,,,,,
Older,111.38,,,,,
Older,136.83,,,,,
Older,137.74,,,,,
Older,138.91,,,,,
Older,140.08,,,,,
Older,140.12,,,,,
Older,140.22,,,,,
